Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F22,P22_5,7,400000,500000,797,400000.0,400797.0,797.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F22,P22_6,8,500000,600000,797,579843.0,580640.0,80640.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F22,P22_7,7,600000,700000,797,616076.0,616873.0,16873.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F22,P22_8,7,700000,800000,797,719360.0,720157.0,20157.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F22,P22_9,8,800000,900000,797,816376.0,817173.0,17173.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F22,P22_10,7,900000,1000000,797,950096.0,950893.0,50893.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F22,P22_11,7,1000000,1100000,797,1016617.0,1017414.0,17414.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F22,P22_12,8,1100000,1200000,797,1179843.0,1180640.0,80640.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F23,P23_1,5,0,400000,9369,134566.0,143935.0,143935.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F23,P23_2,5,400000,800000,9369,622714.0,632083.0,232083.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F23,P23_3,8,800000,1200000,9369,817269.0,826638.0,26638.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F24,P24_1,7,0,200000,1377,77479.0,78856.0,78856.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F24,P24_2,7,200000,400000,1377,339475.0,340852.0,140852.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F24,P24_3,8,400000,600000,1377,522027.0,523404.0,123404.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F24,P24_4,7,600000,800000,1377,682424.0,683801.0,83801.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F24,P24_5,7,800000,1000000,1377,924347.0,925724.0,125724.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F24,P24_6,8,1000000,1200000,1377,1166559.0,1167936.0,167936.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F25,P25_1,5,0,400000,911,210493.0,211404.0,211404.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F25,P25_2,5,400000,800000,911,648879.0,649790.0,249790.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F25,P25_3,8,800000,1200000,911,883291.0,884202.0,84202.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_1,7,0,50000,3612,11820.0,15432.0,15432.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_2,7,50000,100000,3612,93066.0,96678.0,46678.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F26,P26_3,8,100000,150000,3612,120671.0,124283.0,24283.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
